channelGrouping,city,metro,visitNumber,browser,operatingSystem,isMobile,deviceCategory,campaign,source,medium,hits,pageviews,bounces,newVisits,transactionRevenue,month,quarterMonth,day,weekday,time_range
6,295,52,4,5,6,False,0,0,48,6,4,4,0,0,0.0,1,4,26,178,3
4,295,52,1,18,11,True,1,0,23,5,4,4,0,1,0.0,1,4,26,178,3
2,257,45,10,5,6,False,0,0,0,0,8,5,0,0,0.0,1,4,26,178,0
6,295,52,13,5,6,False,0,0,48,6,9,9,0,0,0.0,1,4,26,178,3
2,295,52,1,5,6,False,0,0,0,0,11,8,0,1,0.0,1,4,26,178,3
7,295,52,1,5,9,False,0,0,75,6,23,18,0,1,0.0,1,4,26,178,3
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,1,4,26,178,4
4,295,52,1,5,6,False,0,0,23,5,1,1,1,1,0.0,1,4,26,178,0
4,172,45,1,5,6,False,0,0,23,5,1,1,1,1,0.0,1,4,26,178,3
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,1,4,26,178,0
7,210,0,1,5,9,False,0,0,61,6,1,1,1,1,0.0,1,4,26,178,4
4,148,26,3,5,6,False,0,0,23,5,1,1,1,0,0.0,1,4,26,178,0
7,295,52,1,18,11,True,2,0,75,6,1,1,1,1,0.0,1,4,26,178,4
4,295,52,1,5,3,False,0,0,23,5,1,1,1,1,0.0,1,4,26,178,0
7,295,52,1,5,6,False,0,0,75,6,1,1,1,1,0.0,1,4,26,178,4
6,0,0,1,5,9,False,0,0,5,6,1,1,1,1,0.0,1,4,26,178,0
6,257,45,2,5,9,False,0,0,48,6,1,1,1,0,0.0,1,4,26,178,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,1,4,26,178,1
7,295,52,1,5,9,False,0,0,75,6,3,2,0,1,0.0,1,4,26,178,0
6,172,45,1,5,3,False,0,0,48,6,3,3,0,1,0.0,1,4,26,178,3
4,295,52,1,5,6,False,0,0,23,5,4,4,0,1,0.0,1,4,26,178,4
2,195,45,2,5,6,False,0,0,0,0,3,3,0,0,0.0,1,4,26,178,4
4,182,32,1,5,6,False,0,0,23,5,2,2,0,1,0.0,1,4,26,178,3
2,295,52,1,5,9,False,0,0,0,0,2,2,0,1,0.0,1,4,26,178,0
6,295,52,2,5,5,False,0,0,48,6,2,2,0,0,0.0,1,4,26,178,4
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,1,4,26,178,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,1,4,26,178,3
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,1,4,26,178,1
7,295,52,1,7,9,False,0,0,75,6,2,2,0,1,0.0,1,4,26,178,3
4,295,52,1,9,9,False,0,0,23,5,1,1,1,1,0.0,6,4,23,326,4
4,295,52,1,18,11,True,2,0,23,5,1,1,1,1,0.0,6,4,23,326,3
2,295,52,1,5,5,False,0,0,0,0,1,1,1,1,0.0,6,4,23,326,0
2,295,52,1,5,5,False,0,0,0,0,1,1,1,1,0.0,6,4,23,326,4
2,0,0,1,18,6,False,0,0,0,0,1,1,1,1,0.0,6,4,23,326,1
5,231,45,1,18,11,True,1,1,23,3,1,1,1,1,0.0,6,4,23,326,4
1,295,52,1,5,6,False,0,4,3,2,1,1,1,1,0.0,6,4,23,326,3
3,271,0,4,5,6,False,0,0,16,4,1,1,1,0,0.0,6,4,23,326,4
3,295,52,3,5,1,True,1,0,16,4,1,1,1,0,0.0,6,4,23,326,3
3,295,52,4,5,1,True,1,0,16,4,1,1,1,0,0.0,6,4,23,326,3
4,295,52,1,19,11,True,2,0,23,5,1,1,1,1,0.0,6,4,23,326,4
4,161,0,1,18,11,True,1,0,23,5,1,1,1,1,0.0,6,4,23,326,4
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,6,4,23,326,3
4,295,52,1,8,9,False,0,0,23,5,1,1,1,1,0.0,6,4,23,326,4
4,14,2,1,5,11,True,1,0,23,5,1,1,1,1,0.0,6,4,23,326,4
4,295,52,1,18,11,True,1,0,23,5,2,2,0,1,0.0,6,4,23,326,0
4,295,52,1,5,3,False,0,0,23,5,2,2,0,1,0.0,6,4,23,326,3
6,152,0,1,5,6,False,0,0,48,6,2,2,0,1,0.0,6,4,23,326,1
4,230,45,1,5,6,False,0,0,23,5,2,2,0,1,0.0,6,4,23,326,4
2,295,52,1,5,6,False,0,0,0,0,2,2,0,1,0.0,6,4,23,326,3
6,257,45,3,5,3,False,0,0,48,6,3,3,0,0,0.0,6,4,23,326,3
4,295,52,1,5,9,False,0,0,23,5,3,2,0,1,0.0,6,4,23,326,0
4,295,52,2,8,6,False,0,0,23,5,3,3,0,0,0.0,6,4,23,326,0
4,111,18,1,9,9,False,0,0,23,5,3,3,0,1,0.0,6,4,23,326,4
4,182,32,1,5,6,False,0,0,23,5,9,5,0,1,0.0,6,4,23,326,0
6,295,52,1,5,6,False,0,0,48,6,39,28,0,1,31.49,6,4,23,326,0
4,250,0,1,5,9,False,0,0,23,5,40,31,0,1,0.0,6,4,23,326,0
7,57,0,1,5,1,True,1,0,75,6,1,1,1,1,0.0,6,4,23,326,1
4,0,0,1,18,11,True,1,0,23,5,1,1,1,1,0.0,3,2,12,223,3
4,295,52,2,5,6,False,0,0,23,5,1,1,1,0,0.0,3,2,12,223,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,3,2,12,223,4
2,295,52,1,5,1,True,1,0,0,0,1,1,1,1,0.0,3,2,12,223,3
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,3,2,12,223,4
1,295,52,1,5,9,False,0,4,3,2,1,1,1,1,0.0,3,2,12,223,0
2,231,45,3,5,11,True,1,0,0,0,1,1,1,0,0.0,3,2,12,223,3
2,295,52,1,8,6,False,0,0,0,0,1,1,1,1,0.0,3,2,12,223,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,3,2,12,223,4
4,62,0,2,5,9,False,0,0,23,5,1,1,1,0,0.0,3,2,12,223,1
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,3,2,12,223,1
4,295,52,1,18,6,False,0,0,23,5,1,1,1,1,0.0,3,2,12,223,3
4,295,52,1,18,11,True,1,0,23,5,2,2,0,1,0.0,3,2,12,223,0
4,265,0,1,5,9,False,0,0,23,5,2,2,0,1,0.0,3,2,12,223,4
4,265,0,1,5,9,False,0,0,23,5,2,2,0,1,0.0,3,2,12,223,4
4,62,0,1,5,9,False,0,0,23,5,2,2,0,1,0.0,3,2,12,223,1
2,0,0,7,18,11,True,1,0,0,0,3,3,0,0,0.0,3,2,12,223,4
4,295,52,2,5,9,False,0,0,23,5,3,3,0,0,0.0,3,2,12,223,0
2,0,0,8,18,11,True,1,0,0,0,5,5,0,0,0.0,3,2,12,223,0
4,295,52,1,5,9,False,0,0,23,5,6,5,0,1,0.0,3,2,12,223,4
4,295,52,1,5,1,True,1,0,23,5,7,5,0,1,0.0,3,2,12,223,3
4,283,0,1,18,6,False,0,0,23,5,8,7,0,1,0.0,3,2,12,223,4
4,230,45,1,5,6,False,0,0,23,5,11,11,0,1,0.0,3,2,12,223,0
4,241,0,2,5,6,False,0,0,23,5,14,8,0,0,0.0,3,2,12,223,4
7,29,40,1,5,9,False,0,0,75,6,1,1,1,1,0.0,3,2,12,223,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,3,2,12,223,4
7,295,52,1,5,9,False,0,0,75,6,2,2,0,1,0.0,3,2,12,223,2
7,295,52,1,5,9,False,0,0,75,6,3,3,0,1,0.0,3,2,12,223,4
7,0,0,1,5,1,True,1,0,75,6,7,6,0,1,0.0,3,2,12,223,1
4,295,52,2,5,1,True,1,0,23,5,1,1,1,0,0.0,2,1,3,186,1
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,2,1,3,186,1
2,295,52,13,5,6,False,0,0,0,0,1,1,1,0,0.0,2,1,3,186,4
4,295,52,1,5,1,True,2,0,23,5,1,1,1,1,0.0,2,1,3,186,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,2,1,3,186,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,2,1,3,186,0
2,59,8,1,5,6,False,0,0,0,0,1,1,1,1,0.0,2,1,3,186,3
4,265,0,1,5,9,False,0,0,23,5,1,1,1,1,0.0,2,1,3,186,1
2,0,0,1,5,5,False,0,0,0,0,1,1,1,1,0.0,2,1,3,186,3
5,295,52,3,8,9,False,0,0,23,3,1,1,1,0,0.0,2,1,3,186,1
2,295,52,1,5,6,False,0,0,0,0,1,1,1,1,0.0,2,1,3,186,4
4,295,52,3,18,11,True,2,0,23,5,1,1,1,0,0.0,2,1,3,186,4
4,295,52,2,18,11,True,2,0,23,5,1,1,1,0,0.0,2,1,3,186,4
4,295,52,1,16,0,True,1,0,23,5,1,1,1,1,0.0,2,1,3,186,1
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,2,1,3,186,3
4,295,52,1,18,11,True,2,0,23,5,1,1,1,1,0.0,2,1,3,186,0
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,2,1,3,186,0
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,2,1,3,186,0
6,295,52,4,5,5,False,0,0,48,6,2,2,0,0,0.0,2,1,3,186,0
2,295,52,1,18,6,False,0,0,0,0,2,2,0,1,0.0,2,1,3,186,3
2,295,52,1,5,9,False,0,0,0,0,2,2,0,1,0.0,2,1,3,186,3
4,295,52,1,5,1,True,1,0,23,5,4,4,0,1,0.0,2,1,3,186,3
4,295,52,1,18,11,True,1,0,23,5,8,8,0,1,0.0,2,1,3,186,3
7,295,52,1,7,9,False,0,0,75,6,1,1,1,1,0.0,2,1,3,186,1
7,295,52,1,5,6,False,0,0,75,6,3,3,0,1,0.0,2,1,3,186,4
4,295,52,1,5,6,False,0,0,23,5,6,5,0,1,0.0,8,2,11,10,3
6,172,45,11,5,3,False,0,0,48,6,14,9,0,0,0.0,8,2,11,10,0
4,295,52,1,18,11,True,2,0,23,5,14,9,0,1,0.0,8,2,11,10,3
4,295,52,1,5,1,True,1,0,23,5,15,13,0,1,0.0,8,2,11,10,4
6,182,32,9,5,6,False,0,0,67,6,30,23,0,0,556.61,8,2,11,10,3
5,295,52,1,5,6,False,0,3,23,3,35,23,0,1,0.0,8,2,11,10,4
6,230,45,2,5,6,False,0,0,48,6,48,35,0,0,0.0,8,2,11,10,0
6,182,32,8,5,6,False,0,0,67,6,53,34,0,0,0.0,8,2,11,10,3
7,295,52,1,5,9,False,0,0,75,6,6,5,0,1,0.0,8,2,11,10,1
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,1
6,25,0,1,5,9,False,0,0,6,6,2,1,1,1,0.0,8,2,11,10,0
4,295,52,1,5,1,True,1,0,23,5,3,2,0,1,0.0,8,2,11,10,3
2,246,0,1,5,11,True,1,0,0,0,1,1,1,1,0.0,8,2,11,10,3
2,246,0,3,5,11,True,1,0,0,0,1,1,1,0,0.0,8,2,11,10,0
7,295,52,2,5,6,False,0,0,19,6,1,1,1,0,0.0,8,2,11,10,0
2,41,0,1,5,1,True,1,0,0,0,3,2,0,1,0.0,8,2,11,10,4
2,148,26,1,5,1,True,1,0,0,0,4,4,0,1,0.0,8,2,11,10,2
2,41,0,1,18,10,True,1,0,0,0,4,4,0,1,0.0,8,2,11,10,4
2,246,0,2,5,11,True,1,0,0,0,14,10,0,0,0.0,8,2,11,10,2
4,257,45,1,5,6,False,0,0,23,5,1,1,1,1,0.0,8,2,11,10,3
4,14,2,1,5,11,True,1,0,23,5,1,1,1,1,0.0,8,2,11,10,3
4,230,45,1,5,6,False,0,0,23,5,3,3,0,1,0.0,8,2,11,10,0
4,257,45,1,18,6,False,0,0,23,5,3,3,0,1,0.0,8,2,11,10,0
7,295,52,1,7,9,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,2
7,295,52,3,5,9,False,0,0,75,6,1,1,1,0,0.0,8,2,11,10,1
7,295,52,1,8,9,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,1
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,1
7,295,52,1,8,9,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,3
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,8,2,11,10,0
4,295,52,1,5,1,True,1,0,23,5,5,5,0,1,0.0,6,2,13,316,0
4,230,45,4,5,6,False,0,0,23,5,7,7,0,0,0.0,6,2,13,316,3
4,295,52,3,5,9,False,0,0,23,5,7,5,0,0,0.0,6,2,13,316,4
2,57,0,1,5,1,True,1,0,0,0,16,15,0,1,0.0,6,2,13,316,0
6,48,4,8,5,6,False,0,0,48,6,3,3,0,0,0.0,6,2,13,316,0
2,295,52,1,5,9,False,0,0,0,0,3,3,0,1,0.0,6,2,13,316,4
6,195,45,4,5,6,False,0,0,48,6,3,3,0,0,0.0,6,2,13,316,0
6,172,45,1,5,5,False,0,0,48,6,3,3,0,1,0.0,6,2,13,316,3
4,295,52,1,5,1,True,1,0,23,5,3,3,0,1,0.0,6,2,13,316,3
4,295,52,2,5,9,False,0,0,23,5,7,5,0,0,0.0,6,2,13,316,4
2,59,8,1,5,1,True,1,0,0,0,7,5,0,1,0.0,6,2,13,316,4
2,295,52,1,5,1,True,1,0,0,0,9,7,0,1,0.0,6,2,13,316,2
4,295,52,2,5,1,True,1,0,23,5,9,9,0,0,0.0,6,2,13,316,2
4,295,52,1,8,9,False,0,0,23,5,16,13,0,1,0.0,6,2,13,316,1
6,245,46,3,5,6,False,0,0,48,6,18,18,0,0,13.59,6,2,13,316,4
1,295,52,9,5,6,False,0,4,3,2,23,21,0,0,0.0,6,2,13,316,1
4,295,52,1,5,1,True,1,0,23,5,29,19,0,1,0.0,6,2,13,316,1
1,295,52,8,5,6,False,0,4,3,2,47,37,0,0,0.0,6,2,13,316,1
4,246,0,1,18,11,True,2,0,23,5,1,1,1,1,0.0,6,2,13,316,1
4,112,0,1,5,9,False,0,0,23,5,1,1,1,1,0.0,6,2,13,316,3
6,295,52,2,5,9,False,0,0,5,6,2,2,0,0,0.0,6,2,13,316,4
1,295,52,1,5,1,True,1,4,3,2,2,2,0,1,0.0,6,2,13,316,1
2,225,41,6,5,9,False,0,0,0,0,3,3,0,0,0.0,6,2,13,316,3
4,59,8,2,5,1,True,1,0,23,5,1,1,1,0,0.0,6,2,13,316,4
2,295,52,1,5,9,False,0,0,0,0,1,1,1,1,0.0,6,2,13,316,1
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,6,2,13,316,2
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,6,2,13,316,0
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,6,2,13,316,0
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,6,2,13,316,4
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,6,2,13,316,0
4,47,0,1,5,1,True,1,0,23,5,2,2,0,1,0.0,6,2,13,316,3
4,295,52,1,18,11,True,1,0,23,5,2,2,0,1,0.0,6,2,13,316,1
4,295,52,1,8,6,False,0,0,23,5,2,2,0,1,0.0,6,2,13,316,0
2,147,25,1,5,1,True,1,0,0,0,1,1,1,1,0.0,1,2,13,165,3
2,182,32,1,5,1,True,1,0,0,0,1,1,1,1,0.0,1,2,13,165,0
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,1,2,13,165,1
4,7,0,1,5,6,False,0,0,23,5,1,1,1,1,0.0,1,2,13,165,1
2,295,52,1,5,1,True,1,0,0,0,1,1,1,1,0.0,1,2,13,165,0
1,182,32,1,18,6,False,0,4,3,2,1,1,1,1,0.0,1,2,13,165,3
4,295,52,1,5,1,True,1,0,23,5,1,1,1,1,0.0,1,2,13,165,1
4,147,25,1,18,11,True,1,0,23,5,2,2,0,1,0.0,1,2,13,165,2
4,295,52,1,5,9,False,0,0,23,5,2,2,0,1,0.0,1,2,13,165,4
4,295,52,1,5,6,False,0,0,23,5,3,3,0,1,0.0,1,2,13,165,0
2,172,45,1,5,6,False,0,0,0,0,3,3,0,1,0.0,1,2,13,165,3
6,295,52,1,5,9,False,0,0,5,6,4,4,0,1,0.0,1,2,13,165,4
4,295,52,1,3,1,True,1,0,23,5,4,4,0,1,0.0,1,2,13,165,3
4,295,52,1,5,9,False,0,0,23,5,4,4,0,1,0.0,1,2,13,165,1
2,172,45,5,5,9,False,0,0,0,0,6,5,0,0,0.0,1,2,13,165,3
2,295,52,1,5,9,False,0,0,0,0,15,12,0,1,0.0,1,2,13,165,3
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,1,2,13,165,4
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,1,2,13,165,2
7,268,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,0
4,181,0,1,5,1,True,1,0,23,5,1,1,1,1,0.0,11,3,18,109,1
7,295,52,1,9,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,2
7,0,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,1
7,136,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,3
4,295,52,1,5,3,False,0,0,23,5,1,1,1,1,0.0,11,3,18,109,1
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,0
7,249,0,2,18,6,False,0,0,75,6,1,1,1,0,0.0,11,3,18,109,1
7,25,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,3
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,4
7,0,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,0
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,0
7,17,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,3,18,109,3
4,135,0,1,5,1,True,1,0,23,5,1,1,1,1,0.0,11,3,18,109,4
7,295,52,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,4
7,175,0,1,5,9,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,1
7,109,0,1,18,6,False,0,0,75,6,4,4,0,1,0.0,11,3,18,109,1
4,57,0,1,18,11,True,2,0,23,5,42,30,0,1,0.0,11,3,18,109,4
2,182,32,1,5,5,False,0,0,0,0,1,1,1,1,0.0,11,3,18,109,4
2,172,45,189,5,6,False,0,0,0,0,1,1,1,0,0.0,11,3,18,109,4
2,172,45,191,5,6,False,0,0,0,0,1,1,1,0,0.0,11,3,18,109,0
2,172,45,190,5,6,False,0,0,0,0,1,1,1,0,0.0,11,3,18,109,4
4,295,52,1,18,11,True,1,0,23,5,1,1,1,1,0.0,11,3,18,109,3
7,231,45,2,18,11,True,1,0,75,6,1,1,1,0,0.0,11,3,18,109,3
2,230,45,3,5,1,True,1,0,0,0,1,1,1,0,0.0,11,3,18,109,4
4,295,52,5,18,11,True,1,0,23,5,1,1,1,0,0.0,11,3,18,109,2
4,295,52,4,18,11,True,1,0,23,5,1,1,1,0,0.0,11,3,18,109,1
4,172,45,5,5,1,True,1,0,23,5,1,1,1,0,0.0,11,3,18,109,3
7,295,52,1,5,9,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,0
7,109,0,1,5,9,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,0
7,295,52,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,1
7,295,52,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,2
7,295,52,1,8,9,False,0,0,75,6,2,2,0,1,0.0,11,3,18,109,2
4,182,32,1,5,6,False,0,0,23,5,3,2,0,1,0.0,11,3,18,109,4
2,295,52,3,5,6,False,0,0,0,0,4,3,0,0,0.0,11,3,18,109,3
4,295,52,1,5,6,False,0,0,23,5,6,4,0,1,0.0,11,3,18,109,0
6,295,52,1,18,6,False,0,0,60,6,7,6,0,1,0.0,11,3,18,109,1
4,249,0,3,18,6,False,0,0,23,5,10,7,0,0,0.0,11,3,18,109,1
4,111,18,1,5,1,True,1,0,23,5,10,9,0,1,0.0,11,3,18,109,3
4,295,52,1,9,9,False,0,0,23,5,12,11,0,1,0.0,11,3,18,109,3
2,295,52,1,5,9,False,0,0,0,0,37,22,0,1,0.0,11,3,18,109,1
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,1
4,135,0,4,5,1,True,1,0,23,5,1,1,1,0,0.0,11,2,10,101,0
6,0,0,2,5,9,False,0,0,48,6,5,5,0,0,0.0,11,2,10,101,0
4,148,26,1,5,1,True,1,0,23,5,7,6,0,1,0.0,11,2,10,101,4
4,56,7,1,18,11,True,1,0,23,5,8,6,0,1,0.0,11,2,10,101,0
4,172,45,1,5,1,True,1,0,23,5,8,7,0,1,0.0,11,2,10,101,4
4,38,0,1,5,9,False,0,0,23,5,10,8,0,1,0.0,11,2,10,101,1
1,169,0,1,5,9,False,0,4,3,2,13,11,0,1,0.0,11,2,10,101,4
6,295,52,1,5,6,False,0,0,48,6,15,12,0,1,27.19,11,2,10,101,0
4,295,52,1,5,9,False,0,0,23,5,17,13,0,1,0.0,11,2,10,101,4
4,38,0,2,5,9,False,0,0,23,5,23,15,0,0,0.0,11,2,10,101,1
4,295,52,1,5,6,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,0
5,295,52,1,5,6,False,0,3,23,3,1,1,1,1,0.0,11,2,10,101,3
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,3
4,295,52,1,18,11,True,2,0,23,5,1,1,1,1,0.0,11,2,10,101,4
4,259,0,1,5,9,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,1
4,8,0,1,5,6,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,4
4,0,0,1,5,6,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,1
7,109,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,109,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,0
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,4
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,4
7,75,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,0
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,75,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,295,52,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,4
7,106,0,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,4
7,109,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,0
7,0,0,1,5,9,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,1
7,295,52,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,4
7,295,52,1,5,9,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,1
7,295,52,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,4
7,295,52,1,18,6,False,0,0,75,6,3,3,0,1,0.0,11,2,10,101,1
4,295,52,1,5,9,False,0,0,23,5,1,1,1,1,0.0,11,2,10,101,4
7,295,52,1,18,6,False,0,0,75,6,1,1,1,1,0.0,11,2,10,101,3
7,0,0,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,0
7,19,0,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,1
7,19,0,1,18,6,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,1
7,295,52,1,5,9,False,0,0,75,6,2,2,0,1,0.0,11,2,10,101,3
